director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,Avatar,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Pirates of the Caribbean: At World's End,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,Spectre,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,The Dark Knight Rises,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller
Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,Star Wars: Episode VII - The Force Awakens            ,Doug Walker Rob Walker unknown Doug Walker Documentary
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,John Carter,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-Fi
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,Tangled,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,Avengers: Age of Ultron,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,Harry Potter and the Half-Blood Prince,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,Batman v Superman: Dawn of Justice,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-Fi
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,Superman Returns,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,Quantum of Solace,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,The Lone Ranger,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,Man of Steel,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,The Chronicles of Narnia: Prince Caspian,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,Pirates of the Caribbean: On Stranger Tides,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,Men in Black 3,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: The Battle of the Five Armies,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,The Amazing Spider-Man,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,Robin Hood,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: The Desolation of Smaug,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,The Golden Compass,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,Titanic,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,Captain America: Civil War,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Sci-Fi
